TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11607011
Test ID:,003
Test Abbreviation:,
Start Date:,09/02/2022
Start Time:,17:33:56
Duration (dd:hh:mm:ss):,0:23:42:00
Time constant (seconds):,0
Log Interval (mm:ss):,01:00
Number of points:,1422
Notes:,

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.008
,Minimum:,0.005
,Time of Minimum:,17:34:56
,Date of Minimum:,09/02/2022
,Maximum:,0.019
,Time of Maximum:,12:38:56
,Date of Maximum:,09/03/2022

Calibration,Sensor:,Aerosol
,Cal. date,09/02/2022

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
09/02/2022,17:34:56,0.005
09/02/2022,17:35:56,0.007
09/02/2022,17:36:56,0.008
09/02/2022,17:37:56,0.008
09/02/2022,17:38:56,0.007
09/02/2022,17:39:56,0.007
09/02/2022,17:40:56,0.008
09/02/2022,17:41:56,0.006
09/02/2022,17:42:56,0.008
09/02/2022,17:43:56,0.006
09/02/2022,17:44:56,0.008
09/02/2022,17:45:56,0.007
09/02/2022,17:46:56,0.006
09/02/2022,17:47:56,0.007
09/02/2022,17:48:56,0.007
09/02/2022,17:49:56,0.006
09/02/2022,17:50:56,0.007
09/02/2022,17:51:56,0.009
09/02/2022,17:52:56,0.006
09/02/2022,17:53:56,0.007
09/02/2022,17:54:56,0.007
09/02/2022,17:55:56,0.009
09/02/2022,17:56:56,0.007
09/02/2022,17:57:56,0.007
09/02/2022,17:58:56,0.007
09/02/2022,17:59:56,0.007
09/02/2022,18:00:56,0.007
09/02/2022,18:01:56,0.009
09/02/2022,18:02:56,0.007
09/02/2022,18:03:56,0.007
09/02/2022,18:04:56,0.007
09/02/2022,18:05:56,0.008
09/02/2022,18:06:56,0.007
09/02/2022,18:07:56,0.007
09/02/2022,18:08:56,0.007
09/02/2022,18:09:56,0.007
09/02/2022,18:10:56,0.008
09/02/2022,18:11:56,0.007
09/02/2022,18:12:56,0.007
09/02/2022,18:13:56,0.007
09/02/2022,18:14:56,0.007
09/02/2022,18:15:56,0.008
09/02/2022,18:16:56,0.009
09/02/2022,18:17:56,0.008
09/02/2022,18:18:56,0.007
09/02/2022,18:19:56,0.008
09/02/2022,18:20:56,0.007
09/02/2022,18:21:56,0.007
09/02/2022,18:22:56,0.009
09/02/2022,18:23:56,0.007
09/02/2022,18:24:56,0.007
09/02/2022,18:25:56,0.010
09/02/2022,18:26:56,0.008
09/02/2022,18:27:56,0.007
09/02/2022,18:28:56,0.007
09/02/2022,18:29:56,0.007
09/02/2022,18:30:56,0.007
09/02/2022,18:31:56,0.007
09/02/2022,18:32:56,0.006
09/02/2022,18:33:56,0.006
09/02/2022,18:34:56,0.007
09/02/2022,18:35:56,0.007
09/02/2022,18:36:56,0.006
09/02/2022,18:37:56,0.006
09/02/2022,18:38:56,0.006
09/02/2022,18:39:56,0.008
09/02/2022,18:40:56,0.006
09/02/2022,18:41:56,0.008
09/02/2022,18:42:56,0.007
09/02/2022,18:43:56,0.008
09/02/2022,18:44:56,0.007
09/02/2022,18:45:56,0.007
09/02/2022,18:46:56,0.008
09/02/2022,18:47:56,0.008
09/02/2022,18:48:56,0.007
