ac.type,mean,sd,n,tcrit,bound,lower.95,upper.95
AC,4.9156249999999995,2.3723208573040875,16,2.131449545559775,1.2641205533056934,3.651504446694306,6.179745553305693
EC,22.617857142857144,4.593164115662165,14,2.1603686564627917,2.652014004420039,19.965843138437105,25.269871147277183
