ac.type,mean,sd,n,median,p10,p90,tcrit,bound,lower.95,upper.95
AC,0.13045479292915754,0.05476708856915603,16,0.12176840382397797,0.08156417293880688,0.17752142386288727,2.131449545559775,0.029183321510589895,0.10127147141856765,0.15963811443974743
EC,0.650069088417343,0.12733493112159516,14,0.6481674989550563,0.5254482011019814,0.7419178082191781,2.1603686564627917,0.07352100035677658,0.5765480880605665,0.7235900887741196
