House.Number,Visit,house.number.visit,ac.type,first.day,Monitor.closest,PM2.5.UDAQ.ug.m3,season,day.type,SidePak.ug.m3.avg_In,SidePak.ug.m3.avg_Out,I/O_PM,Cs,Cs.lower,Cs.upper,Fin,Fin.lower,Fin.upper,p.value,R2,sig,I/O_O3
H16,V3,H16 V3,AC,2023-03-30T00:00:00Z,Spanish Fork,2.075,Winter,Normal,2.357041251778094,1.4039829302987197,1.678824721377913,1.8703885200208297,1.6681643010085354,2.072612739033124,0.3466229690226377,0.23069040605974017,0.4625555319855352,5.58955071052241e-9,0.023914959,sig,NA
H16,V4,H16 V4,AC,2023-08-14T00:00:00Z,Spanish Fork,13.345833333333333,Summer,Normal,4.131468531468531,14.165734265734265,0.2916522683516809,3.8491266004510205,3.558772079479963,4.139481121422079,0.019931330471198817,-1.0693684486075619e-4,0.03996959778725839,0.051233556285648345,0.00265889052,non-sig,0.08740359897172237
H17,V2,H17 V2,EC,2023-01-27T00:00:00Z,Spanish Fork,5.304166666666667,Winter,Normal,4.333333333333333,17.961702127659574,0.24125404722419647,3.8751309541742733,3.3451520316483405,4.405109876700206,0.025509964250740168,-0.0017550936946450595,0.0527750221961254,0.06663767321581994,0.00477710482,non-sig,NA
H18,V1,H18 V1,EC,2022-09-01T00:00:00Z,Spanish Fork,7.279166666666667,Summer,Normal,7.912670007158196,12.273443092340731,0.6446984719468097,4.618342472912084,4.453324441786787,4.783360504037381,0.26841103262229227,0.25762917089432885,0.2791928943502557,3.022753860050158e-304,0.63093895072,sig,0.5201698513800425
H19,V1,H19 V1,EC,2022-09-02T00:00:00Z,Spanish Fork,6.341666666666667,Summer,Normal,7.2457337883959045,11.703071672354948,0.6191309419655877,5.23310602998291,4.414831070643217,6.0513809893226025,0.17197431706474187,0.10304811702110712,0.24090051710837662,1.5159626959762216e-6,0.07652557321,sig,0.6508620689655173
H19,V2,H19 V2,EC,2023-02-10T00:00:00Z,Spanish Fork,3.0458333333333334,Winter,Normal,2.4408528198074277,5.076341127922971,0.4808291559409294,2.2108897342422327,2.1296737545592093,2.292105713925256,0.04530095195932091,0.03578255309505469,0.05481935082358714,3.628117585959109e-20,0.05662707935,sig,NA
H19,V3,H19 V3,EC,2023-08-31T00:00:00Z,Spanish Fork,4.504347826086956,Summer,Normal,1.3852941176470588,5.014705882352941,0.27624633431085044,0.9057242828538918,0.7269804107245077,1.084468154983276,0.09563269432825237,0.06388209666521788,0.12738329199128687,4.354363246516426e-9,0.02506431535,sig,0.6174999999999999
H20,V1,H20 V1,EC,2022-09-08T00:00:00Z,Lindon,16.583333333333332,Summer,Wildfire Smoke,36.070137382501805,36.71945046999277,0.9823169170785497,6.0896587897305725,5.1649182571628645,7.014399322298281,0.8164740541874747,0.7920923085098368,0.8408557998651125,0,0.75756275535,sig,0.4037854889589906
H21,V1,H21 V1,EC,2022-09-08T00:00:00Z,Spanish Fork,20.17391304347826,Summer,Wildfire Smoke,32.578226387887526,36.197548666186016,0.9000119507628569,-4.109974525590847,-5.205744478480351,-3.0142045727013427,1.0135548473687304,0.9840517922794554,1.0430579024580053,0,0.76631080924,sig,0.7178217821782179
H21,V2,H21 V2,EC,2022-12-08T00:00:00Z,Spanish Fork,10.13913043478261,Winter,Normal,5.846376811594203,20.907246376811596,0.27963399417718005,5.324662274841487,5.179566424659868,5.469758125023107,0.024953766141648254,0.01903213346908363,0.03087539881421288,3.2075955050079246e-16,0.04724757764,sig,NA
H22,V1,H22 V1,EC,2022-09-12T00:00:00Z,Lindon,4.216666666666667,Summer,Wildfire Smoke,10.01822004204625,9.314646110721794,1.0755341558832379,0.5924751465954504,0.2585718265977832,0.9263784665931176,1.0119273221342568,0.9837190578653545,1.0401355864031592,0,0.77654050394,sig,0.5377643504531723
H22,V2,H22 V2,EC,2023-03-03T00:00:00Z,Lindon,7.245833333333334,Winter,Normal,6.894366197183099,8.316901408450704,0.8289585097375106,7.565241563223061,7.115997761682935,8.014485364763187,-0.08066409989642255,-0.12784352526039078,-0.03348467453245432,8.702274762987503e-4,0.03861324327,sig,NA
H23,V1,H23 V1,EC,2022-09-12T00:00:00Z,Lindon,4.112,Summer,Wildfire Smoke,7.1664345403899725,7.632311977715878,0.9389598540145986,-0.6916377950152215,-0.8600784976603361,-0.5231970923701069,1.0295795505147514,1.011974496516436,1.0471846045130668,0,0.90174427994,sig,0.7428571428571429
H23,V2,H23 V2,EC,2023-04-06T00:00:00Z,Lindon,4.0875,Winter,Normal,1.5737704918032787,2.848360655737705,0.5525179856115108,1.7162591671051635,1.6038170102888407,1.8287013239214862,-0.0500248011131829,-0.0726003721140121,-0.027449230112353708,1.885335909667154e-5,0.07298219223,sig,NA
H24,V1,H24 V1,EC,2023-07-13T00:00:00Z,Lindon,6.925,Summer,Normal,8.223503965392934,8.508291276135544,0.9665282603169223,6.202974465289729,5.874984271204061,6.530964659375396,0.23747770668953358,0.20035813911367148,0.2745972742653957,2.696960078231155e-34,0.10211011229,sig,0.6512968299711814
H25,V1,H25 V1,EC,2023-07-13T00:00:00Z,Lindon,7.2043478260869565,Summer,Normal,7.775936599423631,10.162103746397694,0.7651896490606168,9.640929860442078,9.097157731591341,10.184701989292815,-0.18352432798962126,-0.23498597208064037,-0.13206268389860215,4.092463764479726e-12,0.03410679223,sig,0.7313019390581718
H26,V1,H26 V1,EC,2023-07-20T00:00:00Z,Lindon,11.866666666666667,Summer,Normal,7.627565982404692,9.6158357771261,0.7932296431838977,2.927314279074039,2.5466931122249457,3.3079354459231323,0.48880324209690423,0.4506588191625167,0.5269476650312918,1.025229276116059e-79,0.65207353013,sig,0.9255663430420712
H26,V2,H26 V2,EC,2023-08-28T00:00:00Z,Lindon,5.879166666666666,Summer,Normal,7.645161290322581,6.1563814866760165,1.2418270873675818,5.434967556597544,5.174549561646125,5.695385551548964,0.3590085732192471,0.31918627128040256,0.3988308751580917,2.0085256657232188e-63,0.18007581516,sig,0.9166666666666666
H28,V1,H28 V1,EC,2023-07-27T00:00:00Z,Lindon,5.920833333333333,Summer,Normal,6.82689556509299,10.351931330472103,0.6594803758982863,6.128233278335893,5.886165471810222,6.3703010848615635,0.0674910086295183,0.04631147214231915,0.08867054511671746,5.405145871103917e-10,0.02722912342,sig,0.5956284153005464
H29,V2,H29 V2,EC,2023-08-21T00:00:00Z,Lindon,3.4434782608695653,Summer,Normal,4.177685950413223,3.953719008264463,1.0566471571906355,3.4018922471067796,3.232646000707459,3.5711384935061004,0.19621872512557423,0.15741796748502324,0.23501948276612522,2.33647252495404e-22,0.07534912779,sig,0.1440329218106996
H30,V1,H30 V1,EC,2023-08-10T00:00:00Z,Lindon,4.291666666666667,Summer,Normal,4.698312236286919,7.180028129395218,0.6543584720861899,3.264378207836565,3.062951683608547,3.465804732064583,0.19971147781159418,0.1757949371093867,0.22362801851380165,2.2705896716767924e-55,0.15892510139,sig,0.717607973421927
H31,V1,H31 V1,AC,2023-08-24T00:00:00Z,Spanish Fork,9.020833333333334,Summer,Normal,7.515087719298245,13.653333333333334,0.5504214638157894,2.317746654547566,1.5164094195404054,3.1190838895547266,0.3806646287659144,0.32234332252115927,0.4389859350106695,1.3288916517352572e-35,0.1033016626,sig,0.13026819923371646
H32,V1,H32 V1,EC,2023-08-28T00:00:00Z,Lindon,5.858333333333333,Summer,Normal,6.762438682550806,7.7449194113524875,0.8731451321027868,6.281989810188017,5.972458659849057,6.591520960526978,0.06203406992957472,0.022996623869929095,0.10107151598922035,0.0018622176517764366,0.00677276114,sig,0.6450381679389312
H33,V1,H33 V1,AC,2023-08-31T00:00:00Z,Lindon,2.260869565217391,Summer,Normal,1.8116938950988821,5.437661220980224,0.33317520556609737,2.563060117786136,2.4164536121299816,2.7096666234422906,-0.1381781968667336,-0.16307848552008886,-0.11327790821337835,2.3570435938363103e-26,0.092644123,sig,0.11326860841423948
H09,V4,H09 V4,AC,2023-08-21T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14718614718614717
H02,V1,H02 V1,AC,2022-07-26T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15990990990990991
H02,V4,H02 V4,AC,2023-08-31T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09137055837563451
H05,V1,H05 V1,AC,2022-08-01T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2791666666666667
H10,V1,H10 V1,AC,2022-08-11T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18662952646239553
H09,V3,H09 V3,AC,2022-08-15T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H16,V1,H16 V1,AC,2022-08-17T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15384615384615383
H17,V1,H17 V1,EC,2022-09-01T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5617977528089888
H17,V3,H17 V3,EC,2023-08-03T00:00:00Z,Spanish Fork,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5235457063711911
H27,V1,H27 V1,EC,2023-07-20T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7397260273972603
H27,V2,H27 V2,EC,2023-08-29T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18936877076411962
H29,V1,H29 V1,EC,2023-08-10T00:00:00Z,Lindon,NA,Summer,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15350877192982457
