House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H10,V3,H10 V3,2023-08-03 H10 V3,Out,2023-08-03T00:00:00Z,43.166666666666664,24,Summer,Spanish Fork,5.3999999999999999E-2,32.76852441952814,3.4493183599503294,FALSE,0.0328,52.54664310954064,29.1,68.9,21.489533851590107,13.20569,31.97441,23.583333333333332,Central,AC,High
H11,V1,H11 V1,2022-08-16 H11 V1,In,2022-08-16T00:00:00Z,46.23076923076923,26,Summer,Spanish Fork,<0.01,NA,6.295704571537409,TRUE,0.0063,46.60885245901639,44.6,51,23.897377049180328,21.8,26.6,25.416666666666668,Central,AC,Low
H11,V1,H11 V1,2022-08-16 H11 V1,Out,2022-08-16T00:00:00Z,46.23076923076923,26,Summer,Spanish Fork,7.5999999999999998E-2,46.06367519123923,6.3536103712054075,FALSE,0.0461,35.967434210526314,4.4,68.3,26.794842614379085,17.80838,34.92677,25.5,Central,AC,Low
H12,V1,H12 V1,2022-08-11 H12 V1,In,2022-08-11T00:00:00Z,38.25,24,Summer,Lindon,0.02,11.83105148475321,6.760600848430404,FALSE,0.0118,44.45923344947735,32.4,66.6,23.826132404181184,21.8,25.6,23.916666666666668,Central,AC,Low
H12,V1,H12 V1,2022-08-11 H12 V1,Out,2022-08-11T00:00:00Z,38.25,24,Summer,Lindon,6.8000000000000005E-2,40.538881071820434,6.756480178636738,FALSE,0.0405,63.983450704225355,22.8,88.6,22.71377467353952,17.33408,32.28893,24.25,Central,AC,Low
H13,V1,H13 V1,2022-08-10 H13 V1,In,2022-08-10T00:00:00Z,43.791666666666664,24,Summer,Lindon,<0.01,NA,6.817663289863272,TRUE,0.0068,39.477543859649124,34.4,43.6,22.681052631578947,21.9,24.1,23.75,Central,AC,Low
H13,V1,H13 V1,2022-08-10 H13 V1,Out,2022-08-10T00:00:00Z,43.791666666666664,24,Summer,Lindon,7.3999999999999996E-2,45.04259788097487,6.672977463848127,FALSE,0.045,50.954895664335666,21.65889,71.94559,23.501363706293706,17.68906,32.98873,23.833333333333332,Central,AC,Low
H14,V1,H14 V1,2022-08-15 H14 V1,In,2022-08-15T00:00:00Z,37.833333333333336,24,Summer,Spanish Fork,NA,NA,NA,NA,NA,48.18932384341637,44.9,52.6,22.8711743772242,21.6,25.5,23.416666666666668,Central,AC,NA
H14,V1,H14 V1,2022-08-15 H14 V1,Out,2022-08-15T00:00:00Z,37.833333333333336,24,Summer,Spanish Fork,NA,NA,NA,NA,NA,41.260283687943264,8.3,68.2,24.253350319148936,16.4729,34.04824,23.5,Central,AC,NA
H14,V2,H14 V2,2022-09-09 H14 V2,In,2022-09-09T00:00:00Z,53.416666666666664,24,Summer,Spanish Fork,<0.006,NA,3.359016994866736,TRUE,0.0034,40.473539518900346,37.4,44.3,23.12508591065292,21.9,24.3,24.25,Central,AC,High
H14,V2,H14 V2,2022-09-09 H14 V2,Out,2022-09-09T00:00:00Z,53.416666666666664,24,Summer,Spanish Fork,8.1000000000000003E-2,48.93721199652268,3.3177770845100114,FALSE,0.0489,24.626460481099656,3,52.6,19.084160343642612,9.49257,28.81496,24.333333333333332,Central,AC,High
H09,V4,H09 V4,2023-08-21 H15 V2,In,2023-08-21T00:00:00Z,33.666666666666664,24,Summer,Lindon,<0.0057,NA,3.426843418625846,TRUE,0.0034,59.80915492957747,54.9,62.9,22.432394366197183,22,22.8,23.666666666666668,Central,AC,High
H09,V4,H09 V4,2023-08-21 H15 V2,Out,2023-08-21T00:00:00Z,33.666666666666664,24,Summer,Lindon,3.9E-2,23.093209149677268,3.4212161703225576,FALSE,0.0231,67.75211267605634,49.9,86.8,19.174204405594406,16.26265,22.81301,23.833333333333332,Central,AC,High
