Type of Air Conditioner,Location,count.RH,mean.mean.RH,median.mean.RH,min.mean.RH,max.mean.RH,mean.min.RH,median.min.RH,min.min.RH,max.min.RH,mean.max.RH,median.max.RH,min.max.RH,max.max.RH,count.Temp,mean.mean.Temp,median.mean.Temp,min.mean.Temp,max.mean.Temp,mean.min.Temp,median.min.Temp,min.min.Temp,max.min.Temp,mean.max.Temp,median.max.Temp,min.max.Temp,max.max.Temp
Central,In,24,45.52917558089186,43.55112583205325,34.65448275862069,59.80915492957747,39.1375,37.65,28.4,54.9,51.391666666666666,50.35,42.6,67,24,22.671631588449127,22.80114662917154,16.624924012158054,24.083680555555556,21.391666666666666,21.8,14.6,22.7,24.745833333333334,24.55,19.6,30.5
Central,Out,27,43.81032110848426,41.20035842293907,20.58149466192171,73.1544483985765,15.668466296296296,15.9,1.4,49.9,71.33303851851852,70.43075,40.5,94,27,23.675393142284193,23.501363706293706,18.989968854166666,27.5389590443686,16.38575074074074,17.07143,9.49257,21.59826,33.074298148148145,33.87321,22.76535,36.72726
Evaporative,In,18,51.47563087591089,53.13204388495498,31.248070175438595,76.19724137931034,38.74444444444445,39.4,14.6,64.2,63.84444444444445,65.35,44.5,83.4,18,22.38074319195163,21.85097926984048,19.719217081850534,27.87218309859155,20.22222222222222,19.7,17.5,26.6,25.316666666666666,24.799999999999997,21.4,33.2
Evaporative,Out,20,36.060282614306594,35.86701182661561,17.596140350877192,63.33274021352313,12.758027,10.8,1.9,45.5,64.9483115,67.75,29,95.1,20,24.086137002083973,24.707825337760546,18.985528865248227,27.27611570921986,15.442648,15.40655,13.20569,17.4357,33.488602,34.41339,22.54511,38.49797
