Monitor,Year,avg2_ozone_24-hr,avg2_ozone_8-hr,n_ozone_24-hr,n_ozone_8-hr,ratio_24_8
Lindon,2022,40.01219677594358,55.27272727272727,121,121,0.7239048758805582
Lindon,2023,40.05295074920167,53.516949152542374,118,118,0.7484161818536496
Spanish Fork,2022,41.49475285643319,52.75409836065574,122,122,0.7865692741586154
Spanish Fork,2023,42.12889492753623,53.041666666666664,120,120,0.7942603914068104
