"filename","average.RH","std.dev.RH","min.RH","max.RH","average.temperature.Celsius","std.dev.temperature","min.temperature","max.temperature","time.hours","House.Number","Visit","Sample.Location","Type of Air Conditioner"
"H13_V2_Out",71.4720848056537,24.3799846308957,14.7,91.9,1.53321554770318,6.85134137455429,-7,23.9,23.5833333333333,"H13","V2","Out","Central"
"H14_V1_In",48.2088028169014,1.77699073947782,44.9,52.6,22.8679577464789,0.788518348225001,21.6,25.5,23.6666666666667,"H14","V1","In","Central"
"H14_V1_Out",41.2602836879433,17.3202918430313,8.3,68.2,26.8663120567376,8.18480276580233,17.9,52.1,23.5,"H14","V1","Out","Central"
"H14_V2_In",40.4774744027304,1.59645511743347,37.4,44.3,23.1235494880546,0.645976770576727,21.9,24.3,24.4166666666667,"H14","V2","In","Central"
"H14_V2_Out",24.6264604810997,12.5275952303781,3,52.6,22.4171821305842,9.63014557295835,12.3,52.2,24.25,"H14","V2","Out","Central"
"H15_V1_In",54.6426523297491,2.8794748954722,37.9,58.3,22.7272401433692,0.605885329127367,22.4,29.7,23.25,"H15","V1","In","Central"
"H15_V1_Out",45.0838709677419,16.0191900902873,20.3,71.9,24.7362007168459,5.48865552484023,17.8,34.5,23.25,"H15","V1","Out","Central"
"H16_V1_In",39.0821678321678,2.48354518531937,33.3,42.8,23.6496503496504,0.520374241291666,22.5,26.3,23.8333333333333,"H16","V1","In","Central"
"H16_V1_Out",32.4764912280702,21.417536951144,3.1,69.2,33.3214035087719,16.441995723614,15.8,67.4,23.75,"H16","V1","Out","Central"
"H16_V2_In",37.9337979094077,1.73193186153573,32,42.9,22.7407665505226,0.63958310110015,21.6,25.5,23.9166666666667,"H16","V2","In","Central"
"H16_V2_Out",26.3951048951049,18.0659428689273,1.4,57.1,27.6744755244755,17.0157763402321,9.9,59.4,23.8333333333333,"H16","V2","Out","Central"
"H16_V3_In",28.8713780918728,2.13440090963821,23.2,32.4,19.730035335689,1.1152627455693,17.5,21.8,23.5833333333333,"H16","V3","In","Central"
"H16_V3_Out",63.0794326241135,21.4236989796056,14.6,85.8,5.45248226950355,6.25301159112625,-0.3,26.7,23.5,"H16","V3","Out","Central"
"H17_V1_In",56.0066901408451,5.32387027075527,39,64.8,20.4700704225352,1.43156688303627,17.8,24.5,23.6666666666667,"H17","V1","In","Evaporative"
"H17_V1_Out",23.6795053003534,10.9596586390681,5.5,52.5,28.7565371024735,9.77846733526323,15.4,53.7,23.5833333333333,"H17","V1","Out","Evaporative"
"H17_V2_In",31.3825174825175,2.49497219856717,25.9,35.8,20.3307692307692,0.964036162183401,18.4,22.8,23.8333333333333,"H17","V2","In","Evaporative"
"H17_V2_Out",72.5708333333333,13.2853663174243,32.7,88.3,2.83680555555556,2.76995444000263,0.1,11.3,24,"H17","V2","Out","Evaporative"
"H18_V1_In",37.8576512455516,3.50184953673569,28.1,44.5,25.8195729537367,1.93361462842674,22.3,33.2,23.4166666666667,"H18","V1","In","Evaporative"
"H18_V1_Out",17.6395104895105,10.7266520882658,2,40.6,31.8839160839161,12.5904483447873,16.1,62.2,23.8333333333333,"H18","V1","Out","Evaporative"
"H18_V2_In",16.2277580071174,1.03064384790785,14.3,20.7,20.6007117437722,0.275161365976179,20.1,21.3,23.4166666666667,"H18","V2","In","Evaporative"
