"STATION","NAME","DATE","TMAX"
"USC00427064","PROVO BYU, UT US","2022-04-20","68"
"USC00427064","PROVO BYU, UT US","2022-04-21","77"
"USC00427064","PROVO BYU, UT US","2022-04-22","72"
"USC00427064","PROVO BYU, UT US","2022-04-23","54"
"USC00427064","PROVO BYU, UT US","2022-04-24","57"
"USC00427064","PROVO BYU, UT US","2022-04-25","65"
"USC00427064","PROVO BYU, UT US","2022-04-26","73"
"USC00427064","PROVO BYU, UT US","2022-04-27","77"
"USC00427064","PROVO BYU, UT US","2022-04-28","75"
"USC00427064","PROVO BYU, UT US","2022-04-29","74"
"USC00427064","PROVO BYU, UT US","2022-04-30","70"
"USC00427064","PROVO BYU, UT US","2022-05-01","67"
"USC00427064","PROVO BYU, UT US","2022-05-02","73"
"USC00427064","PROVO BYU, UT US","2022-05-03","73"
"USC00427064","PROVO BYU, UT US","2022-05-04","56"
"USC00427064","PROVO BYU, UT US","2022-05-05","73"
"USC00427064","PROVO BYU, UT US","2022-05-06","80"
"USC00427064","PROVO BYU, UT US","2022-05-07","74"
"USC00427064","PROVO BYU, UT US","2022-05-08","68"
"USC00427064","PROVO BYU, UT US","2022-05-09","55"
"USC00427064","PROVO BYU, UT US","2022-05-10","66"
"USC00427064","PROVO BYU, UT US","2022-05-11","74"
"USC00427064","PROVO BYU, UT US","2022-05-12","68"
"USC00427064","PROVO BYU, UT US","2022-05-13","71"
"USC00427064","PROVO BYU, UT US","2022-05-14","80"
"USC00427064","PROVO BYU, UT US","2022-05-15","87"
"USC00427064","PROVO BYU, UT US","2022-05-16","90"
"USC00427064","PROVO BYU, UT US","2022-05-17","89"
"USC00427064","PROVO BYU, UT US","2022-05-18","81"
"USC00427064","PROVO BYU, UT US","2022-05-19","80"
"USC00427064","PROVO BYU, UT US","2022-05-20","68"
"USC00427064","PROVO BYU, UT US","2022-05-21","66"
"USC00427064","PROVO BYU, UT US","2022-05-22","72"
"USC00427064","PROVO BYU, UT US","2022-05-23","65"
"USC00427064","PROVO BYU, UT US","2022-05-24","72"
"USC00427064","PROVO BYU, UT US","2022-05-25","80"
"USC00427064","PROVO BYU, UT US","2022-05-26","93"
"USC00427064","PROVO BYU, UT US","2022-05-27","92"
"USC00427064","PROVO BYU, UT US","2022-05-28","86"
"USC00427064","PROVO BYU, UT US","2022-05-29","69"
"USC00427064","PROVO BYU, UT US","2022-05-30","57"
"USC00427064","PROVO BYU, UT US","2022-05-31","65"
"USC00427064","PROVO BYU, UT US","2022-06-01","76"
"USC00427064","PROVO BYU, UT US","2022-06-02","85"
"USC00427064","PROVO BYU, UT US","2022-06-03","89"
"USC00427064","PROVO BYU, UT US","2022-06-04","88"
"USC00427064","PROVO BYU, UT US","2022-06-05","81"
"USC00427064","PROVO BYU, UT US","2022-06-06","80"
"USC00427064","PROVO BYU, UT US","2022-06-07","84"
"USC00427064","PROVO BYU, UT US","2022-06-08","91"
"USC00427064","PROVO BYU, UT US","2022-06-09","93"
"USC00427064","PROVO BYU, UT US","2022-06-10","99"
"USC00427064","PROVO BYU, UT US","2022-06-11","98"
"USC00427064","PROVO BYU, UT US","2022-06-12","99"
"USC00427064","PROVO BYU, UT US","2022-06-13","97"
"USC00427064","PROVO BYU, UT US","2022-06-14","70"
"USC00427064","PROVO BYU, UT US","2022-06-15","78"
"USC00427064","PROVO BYU, UT US","2022-06-16","99"
"USC00427064","PROVO BYU, UT US","2022-06-17","100"
"USC00427064","PROVO BYU, UT US","2022-06-18","98"
"USC00427064","PROVO BYU, UT US","2022-06-19","84"
"USC00427064","PROVO BYU, UT US","2022-06-20","76"
"USC00427064","PROVO BYU, UT US","2022-06-21","86"
"USC00427064","PROVO BYU, UT US","2022-06-22","86"
"USC00427064","PROVO BYU, UT US","2022-06-23","93"
"USC00427064","PROVO BYU, UT US","2022-06-24","91"
"USC00427064","PROVO BYU, UT US","2022-06-25","91"
"USC00427064","PROVO BYU, UT US","2022-06-26","93"
"USC00427064","PROVO BYU, UT US","2022-06-27","96"
"USC00427064","PROVO BYU, UT US","2022-06-28","98"
"USC00427064","PROVO BYU, UT US","2022-06-29","95"
"USC00427064","PROVO BYU, UT US","2022-06-30","96"
"USC00427064","PROVO BYU, UT US","2022-07-01","96"
"USC00427064","PROVO BYU, UT US","2022-07-02","98"
"USC00427064","PROVO BYU, UT US","2022-07-03","97"
"USC00427064","PROVO BYU, UT US","2022-07-04","96"
"USC00427064","PROVO BYU, UT US","2022-07-05","95"
"USC00427064","PROVO BYU, UT US","2022-07-06","95"
"USC00427064","PROVO BYU, UT US","2022-07-07","96"
"USC00427064","PROVO BYU, UT US","2022-07-08","98"
"USC00427064","PROVO BYU, UT US","2022-07-09","99"
"USC00427064","PROVO BYU, UT US","2022-07-10","98"
"USC00427064","PROVO BYU, UT US","2022-07-11","97"
"USC00427064","PROVO BYU, UT US","2022-07-12","100"
"USC00427064","PROVO BYU, UT US","2022-07-13","101"
"USC00427064","PROVO BYU, UT US","2022-07-14","97"
"USC00427064","PROVO BYU, UT US","2022-07-15","93"
"USC00427064","PROVO BYU, UT US","2022-07-16","99"
"USC00427064","PROVO BYU, UT US","2022-07-17","104"
"USC00427064","PROVO BYU, UT US","2022-07-18","98"
"USC00427064","PROVO BYU, UT US","2022-07-19","96"
"USC00427064","PROVO BYU, UT US","2022-07-20","97"
"USC00427064","PROVO BYU, UT US","2022-07-21","98"
"USC00427064","PROVO BYU, UT US","2022-07-22","101"
"USC00427064","PROVO BYU, UT US","2022-07-23","98"
"USC00427064","PROVO BYU, UT US","2022-07-24","95"
"USC00427064","PROVO BYU, UT US","2022-07-25","99"
"USC00427064","PROVO BYU, UT US","2022-07-26","98"
"USC00427064","PROVO BYU, UT US","2022-07-27","97"
"USC00427064","PROVO BYU, UT US","2022-07-28","100"
"USC00427064","PROVO BYU, UT US","2022-07-29","96"
"USC00427064","PROVO BYU, UT US","2022-07-30","98"
"USC00427064","PROVO BYU, UT US","2022-07-31","98"
"USC00427064","PROVO BYU, UT US","2022-08-01","96"
"USC00427064","PROVO BYU, UT US","2022-08-02","94"
"USC00427064","PROVO BYU, UT US","2022-08-03","94"
"USC00427064","PROVO BYU, UT US","2022-08-04","99"
"USC00427064","PROVO BYU, UT US","2022-08-05","99"
"USC00427064","PROVO BYU, UT US","2022-08-06","89"
"USC00427064","PROVO BYU, UT US","2022-08-07","89"
"USC00427064","PROVO BYU, UT US","2022-08-08","94"
"USC00427064","PROVO BYU, UT US","2022-08-09","98"
"USC00427064","PROVO BYU, UT US","2022-08-10","97"
"USC00427064","PROVO BYU, UT US","2022-08-11","92"
"USC00427064","PROVO BYU, UT US","2022-08-12","92"
"USC00427064","PROVO BYU, UT US","2022-08-13","94"
"USC00427064","PROVO BYU, UT US","2022-08-14","85"
"USC00427064","PROVO BYU, UT US","2022-08-15","94"
"USC00427064","PROVO BYU, UT US","2022-08-16","95"
"USC00427064","PROVO BYU, UT US","2022-08-17","97"
"USC00427064","PROVO BYU, UT US","2022-08-18","98"
"USC00427064","PROVO BYU, UT US","2022-08-19","95"
"USC00427064","PROVO BYU, UT US","2022-08-20","80"
"USC00427064","PROVO BYU, UT US","2022-08-21","89"
"USC00427064","PROVO BYU, UT US","2022-08-22","93"
"USC00427064","PROVO BYU, UT US","2022-08-23","96"
"USC00427064","PROVO BYU, UT US","2022-08-24","97"
"USC00427064","PROVO BYU, UT US","2022-08-25","89"
"USC00427064","PROVO BYU, UT US","2022-08-26","87"
"USC00427064","PROVO BYU, UT US","2022-08-27","88"
"USC00427064","PROVO BYU, UT US","2022-08-28","88"
"USC00427064","PROVO BYU, UT US","2022-08-29","95"
"USC00427064","PROVO BYU, UT US","2022-08-30","98"
"USC00427064","PROVO BYU, UT US","2022-08-31","98"
"USC00427064","PROVO BYU, UT US","2022-09-01","100"
"USC00427064","PROVO BYU, UT US","2022-09-02","98"
"USC00427064","PROVO BYU, UT US","2022-09-03","101"
"USC00427064","PROVO BYU, UT US","2022-09-04","100"
"USC00427064","PROVO BYU, UT US","2022-09-05","100"
"USC00427064","PROVO BYU, UT US","2022-09-06","101"
"USC00427064","PROVO BYU, UT US","2022-09-07","102"
"USC00427064","PROVO BYU, UT US","2022-09-08","102"
"USC00427064","PROVO BYU, UT US","2022-09-09","94"
"USC00427064","PROVO BYU, UT US","2022-09-10","84"
"USC00427064","PROVO BYU, UT US","2022-09-11","90"
"USC00427064","PROVO BYU, UT US","2022-09-12","92"
"USC00427064","PROVO BYU, UT US","2022-09-13","88"
"USC00427064","PROVO BYU, UT US","2022-09-14","69"
"USC00427064","PROVO BYU, UT US","2022-09-15","79"
"USC00427064","PROVO BYU, UT US","2022-09-16","77"
"USC00427064","PROVO BYU, UT US","2022-09-17","81"
"USC00427064","PROVO BYU, UT US","2022-09-18","88"
"USC00427064","PROVO BYU, UT US","2022-09-19","87"
"USC00427064","PROVO BYU, UT US","2022-09-20","88"
"USC00427064","PROVO BYU, UT US","2022-09-21","84"
"USC00427064","PROVO BYU, UT US","2022-09-22","79"
"USC00427064","PROVO BYU, UT US","2022-09-23","76"
"USC00427064","PROVO BYU, UT US","2022-09-24","80"
"USC00427064","PROVO BYU, UT US","2022-09-25","82"
"USC00427064","PROVO BYU, UT US","2022-09-26","86"
"USC00427064","PROVO BYU, UT US","2022-09-27","89"
"USC00427064","PROVO BYU, UT US","2022-09-28","85"
"USC00427064","PROVO BYU, UT US","2022-09-29","84"
"USC00427064","PROVO BYU, UT US","2022-09-30","77"
"USC00427064","PROVO BYU, UT US","2022-10-01","73"
"USC00427064","PROVO BYU, UT US","2022-10-02","77"
"USC00427064","PROVO BYU, UT US","2022-10-03","77"
"USC00427064","PROVO BYU, UT US","2022-10-04","76"
