Date,Time,Temperature (deg. C),Humidity (%)
26-Jul-22,0:00:40,23.82487,28.82706
26-Jul-22,0:05:40,24.06947,28.28884
26-Jul-22,0:10:40,24.75088,29.08238
26-Jul-22,0:15:40,25.04734,29.06601
26-Jul-22,0:20:40,25.36378,29.34583
26-Jul-22,0:25:40,25.15948,30.5632
26-Jul-22,0:30:40,25.15036,31.08587
26-Jul-22,0:35:40,25.10078,31.21213
26-Jul-22,0:40:40,25.12093,31.11192
26-Jul-22,0:45:40,25.14493,31.3885
26-Jul-22,0:50:40,25.01913,31.7603
26-Jul-22,0:55:40,25.21992,31.92183
26-Jul-22,1:00:40,25.06451,31.76772
26-Jul-22,1:05:40,25.08483,31.75019
26-Jul-22,1:10:40,24.9338,32.09259
26-Jul-22,1:15:40,24.86564,32.28885
26-Jul-22,1:20:40,25.07747,32.08149
26-Jul-22,1:25:40,25.04243,31.86359
26-Jul-22,1:30:40,24.9303,32.32616
26-Jul-22,1:35:40,24.83673,32.27193
26-Jul-22,1:40:40,24.68342,32.38692
26-Jul-22,1:45:40,24.89701,32.16655
26-Jul-22,1:50:40,24.71881,31.76277
26-Jul-22,1:55:40,24.50558,31.7792
26-Jul-22,2:00:40,24.49892,32.39445
26-Jul-22,2:05:40,24.54045,32.78031
26-Jul-22,2:10:40,24.439,33.08278
26-Jul-22,2:15:40,24.39887,33.09316
26-Jul-22,2:20:40,24.16146,34.12872
26-Jul-22,2:25:40,24.0078,34.48629
26-Jul-22,2:30:40,23.9533,35.00825
26-Jul-22,2:35:40,23.73972,35.0805
26-Jul-22,2:40:40,23.43607,34.9393
26-Jul-22,2:45:40,23.07531,35.70366
26-Jul-22,2:50:40,22.93146,38.86294
26-Jul-22,2:55:40,22.65147,39.32243
26-Jul-22,3:00:40,22.46294,35.76394
26-Jul-22,3:05:40,22.57157,34.67892
26-Jul-22,3:10:40,22.95862,34.3369
26-Jul-22,3:15:40,22.44401,36.57182
26-Jul-22,3:20:40,21.93204,37.69825
26-Jul-22,3:25:40,22.11759,37.27437
26-Jul-22,3:30:40,22.14492,36.78444
26-Jul-22,3:35:40,22.08009,36.48473
26-Jul-22,3:40:40,22.0249,36.81889
26-Jul-22,3:45:40,21.82025,36.82186
26-Jul-22,3:50:40,22.24076,35.63042
26-Jul-22,3:55:40,21.63575,37.80649
26-Jul-22,4:00:40,21.634,38.33488
26-Jul-22,4:05:40,21.95271,37.69183
26-Jul-22,4:10:40,22.47643,36.78411
26-Jul-22,4:15:40,22.42667,36.66736
26-Jul-22,4:20:40,22.45856,36.24144
26-Jul-22,4:25:40,21.95744,36.93735
26-Jul-22,4:30:40,21.10082,39.58939
26-Jul-22,4:35:40,20.87182,40.25799
26-Jul-22,4:40:40,21.17792,39.43847
26-Jul-22,4:45:40,20.69152,39.83131
26-Jul-22,4:50:40,20.51841,40.81517
26-Jul-22,4:55:40,20.25699,42.08155
26-Jul-22,5:00:40,19.85908,42.67999
26-Jul-22,5:05:40,19.59048,43.68583
