"ac.type","season","count.In","count.Out","average.temp.In","std.dev.temp.In","min.temp.In","max.temp.In","average.temp.Out","std.dev.temp.Out","min.temp.Out","max.temp.Out","average.RH.In","std.dev.RH.In","min.RH.In","max.RH.In","average.RH.Out","std.dev.RH.Out","min.RH.Out","max.RH.Out"
"Central","Summer",18,19,22.6673532184445,1.65059236613663,16.6249240121581,24.0836805555556,42.6973973624634,13.8256753740596,24.6264604810997,73.1544483985765,44.4943934081102,6.58714714948332,34.6544827586207,58.1003533568905,42.6973973624634,13.8256753740596,24.6264604810997,73.1544483985765
"Central","Winter",7,7,19.2695182164654,0.706062623030459,18.2215277777778,20.121107266436,60.8405233514467,10.7077743418499,44.3218309859155,74.585393258427,32.9525595736243,5.51559758181423,27.331724137931,42.0733564013841,60.8405233514467,10.7077743418499,44.3218309859155,74.585393258427
"Evap","Summer",13,15,22.053250439313,1.76895400486752,19.7192170818505,25.8195729537367,36.3472882261226,12.1377445908355,17.5961403508772,63.3327402135231,52.3517447217278,12.3424324811036,31.2480701754386,76.1972413793103,36.3472882261226,12.1377445908355,17.5961403508772,63.3327402135231
"Evap","Winter",5,5,20.3352686272053,0.912323764104701,18.9472602739726,21.460350877193,50.5871489844906,21.1046008038746,25.3534965034965,72.8038461538462,23.9401147494091,4.79919486548304,19.5597902097902,31.3825174825175,50.5871489844906,21.1046008038746,25.3534965034965,72.8038461538462
