"House.Number","Visit","Location","SidePak.ug.m3.avg","SidePak.ug.m3.stdev","SidePak.ug.m3.min","SidePak.ug.m3.max","SidePak.num.points","SidePak.min.time","SidePak.max.time","Sidepak.tenth","Sidepak.ninetieth","SidePak.interval.measured","SidePak.is.valid","first.day","Ozone.UDAQ.ppb","PM2.5.UDAQ.ug.m3","UDAQ.n_OZONE","UDAQ.n_PM2.5","season","Monitor.closest","Ave Flow (L/min)","Total Volume (L)","O3.mg.m3","O3.ppm","O3.LOD.ppm","O3.Below.detection"
"H15","V2","In",6.4114730878187,1.47021795921888,4,15,1412,2023-08-21 17:29:00,2023-08-22 17:00:00,5,8,23.5166666666667,"Y",2023-08-21,34.625,3.45416666666667,24,24,"Summer","Lindon",NA,NA,NA,NA,NA,NA
"H15","V2","Out",0.672804532577904,1.12027753409704,0,15,1412,2023-08-21 17:29:00,2023-08-22 17:00:00,0,2,23.5166666666667,"Y",2023-08-21,34.625,3.45416666666667,24,24,"Summer","Lindon",NA,NA,NA,NA,NA,NA
"H16","V2","In",29.1471830985916,12.5002674737386,10,63,1420,2022-09-09 16:20:00,2022-09-10 15:59:00,16,50,23.65,"Y",2022-09-09,52.1666666666667,30.3916666666667,24,24,"Summer","Spanish Fork",0.50493,722.6305695,"<0.006",NA,0.00332581189034412,TRUE
"H16","V2","Out",84.4985915492958,19.7411186832503,38,128,1420,2022-09-09 16:20:00,2022-09-10 15:59:00,56,108,23.65,"Y",2022-09-09,52.1666666666667,30.3916666666667,24,24,"Summer","Spanish Fork",0.501015,715.06363845,"0.08",0.0478943387115838,0.0033610062253743,FALSE
"H16","V3","In",2.35704125177809,2.32099581211663,1,49,1406,2023-03-30 17:47:00,2023-03-31 17:12:00,1,4,23.4166666666667,"Y",2023-03-30,NA,2.075,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H16","V3","Out",1.40398293029872,1.03550413928879,0,13,1406,2023-03-30 17:47:00,2023-03-31 17:12:00,1,2,23.4166666666667,"Y",2023-03-30,NA,2.075,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H16","V4","In",4.13146853146853,1.17867805471712,1,28,1430,2023-08-14 17:22:00,2023-08-15 17:11:00,3,5,23.8166666666667,"Y",2023-08-14,45.2083333333333,11.7625,24,24,"Summer","Spanish Fork",0.494145,712.35449055,"<0.0056",NA,0.0033737884329383,TRUE
"H16","V4","Out",14.1657342657343,3.04936306477016,6,24,1430,2023-08-14 17:22:00,2023-08-15 17:11:00,11,19,23.8166666666667,"Y",2023-08-14,45.2083333333333,11.7625,24,24,"Summer","Spanish Fork",0.485915,697.2297152,"6.4000000000000001E-2",0.0387784678273477,0.00344697491798646,FALSE
"H17","V2","In",4.33333333333333,2.74448482774035,3,71,705,2023-01-27 16:21:00,2023-01-28 04:05:00,3,6,11.7333333333333,"Y",2023-01-27,NA,5.30416666666667,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H17","V2","Out",17.9617021276596,7.43589707301441,5,45,705,2023-01-27 16:21:00,2023-01-28 04:05:00,8,27,11.7333333333333,"Y",2023-01-27,NA,5.30416666666667,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H18","V1","In",7.9126700071582,3.09095011181817,4,25,1397,2022-09-01 19:37:00,2022-09-02 18:53:00,5,12,23.2666666666667,"Y",2022-09-01,44.2916666666667,6.90833333333333,24,24,"Summer","Spanish Fork",0.491765,689.21356515,"4.1000000000000002E-2",0.0244094635295277,0.00348706621850396,FALSE
"H18","V1","Out",12.2734430923407,9.14713949754927,2,42,1397,2022-09-01 19:37:00,2022-09-02 18:53:00,4,27,23.2666666666667,"Y",2022-09-01,44.2916666666667,6.90833333333333,24,24,"Summer","Spanish Fork",0.494335,704.1802075,"7.8E-2",0.04692809181246,0.00341295213181527,FALSE
"H19","V1","In",7.2457337883959,1.24183244964781,6,14,293,2022-09-02 17:48:00,2022-09-02 22:40:00,6,9,4.86666666666667,"Y",2022-09-02,47.9166666666667,7.075,24,24,"Summer","Spanish Fork",0.49142,698.4405034,"5.0999999999999997E-2",0.0301087445900706,0.00344099938172235,FALSE
"H19","V1","Out",11.7030716723549,1.99757321560307,7,24,293,2022-09-02 17:48:00,2022-09-02 22:40:00,10,14,4.86666666666667,"Y",2022-09-02,47.9166666666667,7.075,24,24,"Summer","Spanish Fork",0.4945,700.582875,"7.5999999999999998E-2",0.046311437593996,0.00343047685881452,FALSE
"H19","V2","In",2.44085281980743,1.30603273391866,1,23,1454,2023-02-10 17:32:00,2023-02-11 17:45:00,1,3,24.2166666666667,"Y",2023-02-10,NA,3.04583333333333,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H19","V2","Out",5.07634112792297,6.86054812192451,0,43,1454,2023-02-10 17:32:00,2023-02-11 17:45:00,0,11,24.2166666666667,"Y",2023-02-10,NA,3.04583333333333,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H19","V3","In",1.38529411764706,1.54598530187313,0,34,1360,2023-08-31 18:51:00,2023-09-01 17:30:00,0,2,22.65,"Y",2023-08-31,42.9130434782609,7.13478260869565,23,23,"Summer","Spanish Fork",0.494775,683.23974525,"4.1000000000000002E-2",0.0246228845724263,0.00351755493891805,FALSE
"H19","V3","Out",5.01470588235294,2.55933356310494,1,22,1360,2023-08-31 18:51:00,2023-09-01 17:30:00,2,8,22.65,"Y",2023-08-31,42.9130434782609,7.13478260869565,23,23,"Summer","Spanish Fork",0.49719,676.9987635,"6.6000000000000003E-2",0.039937296102837,0.00354998187580773,FALSE
"H20","V1","In",36.0701373825018,8.91153647795371,18,60,1383,2022-09-08 19:04:00,2022-09-09 18:06:00,24,48,23.0333333333333,"Y",2022-09-08,41,15.2916666666667,24,24,"Summer","Lindon",0.5002165,707.306131,"2.1000000000000001E-2",0.0127420075005467,0.00339786866681246,FALSE
"H20","V1","Out",36.7194504699928,9.49991038050337,18,70,1383,2022-09-08 19:04:00,2022-09-09 18:06:00,22,48,23.0333333333333,"Y",2022-09-08,41,15.2916666666667,24,24,"Summer","Lindon",0.50136,702.0945168,"5.1999999999999998E-2",0.031663590679698,0.00342309088429167,FALSE
"H21","V1","In",32.5782263878875,9.63392958043771,14,74,1387,2022-09-08 19:44:00,2022-09-09 18:50:00,20,45,23.1,"Y",2022-09-08,41.0869565217391,18.1782608695652,23,23,"Summer","Spanish Fork",0.502545,706.0958268,"4.8000000000000001E-2",0.028931389505188,0.0034036928829633,FALSE
"H21","V1","Out",36.197548666186,8.32067747483981,19,64,1387,2022-09-08 19:44:00,2022-09-09 18:50:00,24,48,23.1,"Y",2022-09-08,41.0869565217391,18.1782608695652,23,23,"Summer","Spanish Fork",0.50234,700.462896,"6.7000000000000004E-2",0.0403150072767575,0.00343106444908574,FALSE
"H21","V2","In",5.8463768115942,1.4674203942736,4,28,1380,2022-12-08 17:36:00,2022-12-09 16:35:00,5,7,22.9833333333333,"Y",2022-12-08,NA,10.1391304347826,NA,23,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H21","V2","Out",20.9072463768116,12.7822769665568,2,86,1380,2022-12-08 17:36:00,2022-12-09 16:35:00,4,38,22.9833333333333,"Y",2022-12-08,NA,10.1391304347826,NA,23,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H22","V1","In",10.0182200420463,8.39076858163409,2,41,1427,2022-09-12 17:35:00,2022-09-13 17:21:00,3,26,23.7666666666667,"Y",2022-09-12,40.6666666666667,8.55416666666667,24,24,"Summer","Lindon",0.49412,709.5513788,"0.03",0.0177823627913702,0.00338711672216575,FALSE
"H22","V1","Out",9.31464611072179,7.30692211034908,2,65,1427,2022-09-12 17:35:00,2022-09-13 17:21:00,3,21.4000000000001,23.7666666666667,"Y",2022-09-12,40.6666666666667,8.55416666666667,24,24,"Summer","Lindon",0.49609,709.309482,"5.5E-2",0.0330356503941394,0.00338827183529635,FALSE
"H22","V2","In",6.8943661971831,1.90668434196996,5,21,284,2023-03-03 17:55:00,2023-03-04 17:30:00,6,8,23.5833333333333,"Y",2023-03-03,NA,7.24583333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H22","V2","Out",8.3169014084507,4.64479604440629,1,56,284,2023-03-03 17:55:00,2023-03-04 17:30:00,4,10,23.5833333333333,"Y",2023-03-03,NA,7.24583333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H23","V1","In",7.16643454038997,6.25782977959739,1,39,1436,2022-09-12 18:05:00,2022-09-13 18:00:00,2,15,23.9166666666667,"Y",2022-09-12,40.64,8.292,25,25,"Summer","Lindon",0.49639,716.6928459,"4.8000000000000001E-2",0.0285036100332289,0.00335336588626222,FALSE
"H23","V1","Out",7.63231197771588,5.77172373990472,2,31,1436,2022-09-12 18:05:00,2022-09-13 18:00:00,3,15,23.9166666666667,"Y",2022-09-12,40.64,8.292,25,25,"Summer","Lindon",0.49845,719.9163195,"6.4000000000000001E-2",0.0383910361046432,0.00333835096562115,FALSE
"H23","V2","In",1.57377049180328,0.75814407120674,1,4,244,2023-04-06 17:50:00,2023-04-07 17:25:00,1,2,23.5833333333333,"Y",2023-04-06,NA,4.0875,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H23","V2","Out",2.84836065573771,4.09425440247556,0,16,244,2023-04-06 17:50:00,2023-04-07 17:25:00,0,9,23.5833333333333,"Y",2023-04-06,NA,4.0875,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H24","V1","In",8.22350396539293,1.77254876590449,4,26,1387,2023-07-13 18:06:00,2023-07-14 17:12:00,6,10,23.1,"Y",2023-07-13,45.8260869565217,6.59166666666667,23,24,"Summer","Lindon",0.492375,692.79132,"3.7999999999999999E-2",0.0225488776510654,0.00346905810016391,FALSE
"H24","V1","Out",8.50829127613554,2.38511719187823,4,23,1387,2023-07-13 18:06:00,2023-07-14 17:12:00,6,11,23.1,"Y",2023-07-13,45.8260869565217,6.59166666666667,23,24,"Summer","Lindon",0.486085,677.4177777,"5.8000000000000003E-2",0.0345909139676836,0.00354778604796755,FALSE
"H25","V1","In",7.77593659942363,2.87837025835994,4,21,1388,2023-07-13 19:13:00,2023-07-14 18:20:00,5,12.3,23.1166666666667,"Y",2023-07-13,46.9130434782609,6.70869565217391,23,23,"Summer","Lindon",0.487425,683.54044875,"4.2999999999999997E-2",0.0263700562062302,0.00351600749416403,FALSE
"H25","V1","Out",10.1621037463977,2.89649947308683,6,38,1388,2023-07-13 19:13:00,2023-07-14 18:20:00,7,13,23.1166666666667,"Y",2023-07-13,46.9130434782609,6.70869565217391,23,23,"Summer","Lindon",0.48036,667.9117584,"0.06",0.0359827972803847,0.00359827972803847,FALSE
"H26","V1","In",7.62756598240469,1.61582330113365,4,15,341,2023-07-20 13:40:00,2023-07-20 19:20:00,5,9,5.66666666666667,"Y",2023-07-20,44,8.62380952380952,24,21,"Summer","Lindon",0.49232,715.34096,"4.7E-2",0.0285574775323065,0.00335970323909489,FALSE
"H26","V1","Out",9.6158357771261,2.6693656917854,5,20,341,2023-07-20 13:40:00,2023-07-20 19:20:00,6,12,5.66666666666667,"Y",2023-07-20,44,8.62380952380952,24,21,"Summer","Lindon",0.48931,702.7763806,"5.1999999999999998E-2",0.0307779268917041,0.00341976965463379,FALSE
"H26","V2","In",7.64516129032258,1.86650092238537,5,20,1426,2023-08-28 18:01:00,2023-08-29 17:46:00,6,10,23.75,"Y",2023-08-28,37.9583333333333,6.075,24,24,"Summer","Lindon",0.49268,706.9958,"3.1E-2",0.0186964807599011,0.00339936013816383,FALSE
