"House.Number","Visit","Location","SidePak.ug.m3.avg","SidePak.ug.m3.stdev","SidePak.ug.m3.min","SidePak.ug.m3.max","SidePak.num.points","SidePak.min.time","SidePak.max.time","Sidepak.tenth","Sidepak.ninetieth","SidePak.interval.measured","SidePak.is.valid","first.day","Ozone.UDAQ.ppb","PM2.5.UDAQ.ug.m3","UDAQ.n_OZONE","UDAQ.n_PM2.5","season","Monitor.closest","Ave Flow (L/min)","Total Volume (L)","O3.mg.m3","O3.ppm","O3.LOD.ppm","O3.Below.detection"
"H17","V1","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-01,44.2083333333333,6.74166666666667,24,24,NA,"Spanish Fork",0.4916,699.468144,"4.1000000000000002E-2",0.02491059366626,0.0034359439539669,FALSE
"H17","V3","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-03,41.25,4.85416666666667,24,24,NA,"Spanish Fork",0.49053,699.9814047,"3.1E-2",0.0188838350322978,0.00343342455132686,FALSE
"H18","V2","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03,NA,5.90434782608696,NA,23,NA,"Spanish Fork",NA,NA,NA,NA,NA,NA
"H27","V1","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-20,45.0416666666667,11.4428571428571,24,21,NA,"Lindon",0.488835,695.88106425,"3.5999999999999997E-2",0.0215853457566011,0.00345365532105617,FALSE
"H27","V2","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-29,38.75,8.49583333333333,24,24,NA,"Lindon",0.49327,700.8182852,"9.4000000000000004E-3",0.00565838548358877,0.00342932453550835,FALSE
"H29","V1","In",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-10,38.6086956521739,4.39565217391304,23,23,NA,"Lindon",0.493585,695.2440876,"<0.0058",NA,0.00345681953034022,TRUE
"H02","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,47.75,11.5166666666667,24,24,NA,"Spanish Fork",0.241975,338.95858,"7.3999999999999996E-2",0.0443146574938678,0.00709034519901885,FALSE
"H02","V4","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-31,43.08,7.524,25,25,NA,"Spanish Fork",0.494405,672.92970145,"6.5000000000000002E-2",0.039285926430498,0.003571447857318,FALSE
"H05","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-01,38.1666666666667,3.95833333333333,24,24,NA,"Lindon",0.24597,351.6264135,"3.9E-2",0.0239221695764114,0.00683490559326041,FALSE
"H09","V2","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-16,NA,4.98333333333333,NA,24,NA,"Lindon",NA,NA,NA,NA,NA,NA
"H10","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-11,40.1666666666667,6.99583333333333,24,24,NA,"Spanish Fork",0.247195,352.4259115,"0.06",0.0358018511840851,0.00681940022554002,FALSE
"H14","V3","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-22,NA,2.20416666666667,NA,24,NA,"Spanish Fork",NA,NA,NA,NA,NA,NA
"H15","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-15,37.8695652173913,5.9304347826087,23,23,NA,"Lindon",0.4961075,704.338700975,"3.9E-2",0.0230322429039267,0.00341218413391507,FALSE
"H16","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-17,42.7916666666667,5.40833333333333,24,24,NA,"Spanish Fork",0.25109,354.6621141,"7.1999999999999995E-2",0.044046618151031,0.00677640279246631,FALSE
"H17","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-01,44.2083333333333,6.74166666666667,24,24,NA,"Spanish Fork",0.489445,690.91524535,"7.3999999999999996E-2",0.0443505919082523,0.00347847779672567,FALSE
"H17","V3","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-03,41.25,4.85416666666667,24,24,NA,"Spanish Fork",0.49196,700.18207,"5.8999999999999997E-2",0.036040625938732,0.00343244056559353,FALSE
"H18","V2","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03,NA,5.90434782608696,NA,23,NA,"Spanish Fork",NA,NA,NA,NA,NA,NA
"H27","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-20,45.0416666666667,11.4428571428571,24,21,NA,"Lindon",0.482616,681.60822912,"4.9000000000000002E-2",0.029089290901967,0.00352597465478388,FALSE
"H27","V2","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-29,38.75,8.49583333333333,24,24,NA,"Lindon",0.492075,680.16082725,"4.9000000000000002E-2",0.0300345632601831,0.00353347803060978,FALSE
"H29","V1","Out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-10,38.6086956521739,4.39565217391304,23,23,NA,"Lindon",0.487505,686.5922919,"3.6999999999999998E-2",0.0227524644489824,0.00350037914599729,FALSE
