Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/6/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/7/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/8/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/9/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/10/2022,AQS,490494001,2,0.032,ppm,30,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/11/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/12/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/13/2022,AQS,490494001,2,0.035,ppm,32,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/14/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/15/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/16/2022,AQS,490494001,2,0.036,ppm,33,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/17/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/18/2022,AQS,490494001,2,0.035,ppm,32,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/19/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/20/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/21/2022,AQS,490494001,2,0.039,ppm,36,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/22/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/23/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/24/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/25/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/26/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
