"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/23/2022","AQS","490494001","1","14.2","ug/m3 LC","61","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/24/2022","AQS","490494001","1","16.3","ug/m3 LC","64","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/25/2022","AQS","490494001","1","13.3","ug/m3 LC","59","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/26/2022","AQS","490494001","1","7.7","ug/m3 LC","43","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/27/2022","AQS","490494001","1","11.6","ug/m3 LC","56","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/28/2022","AQS","490494001","1","11.3","ug/m3 LC","55","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/29/2022","AQS","490494001","1","11.9","ug/m3 LC","56","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/30/2022","AQS","490494001","1","16.7","ug/m3 LC","65","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"01/31/2022","AQS","490494001","1","8.5","ug/m3 LC","47","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/01/2022","AQS","490494001","1","2.2","ug/m3 LC","12","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/02/2022","AQS","490494001","1","4.5","ug/m3 LC","25","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/03/2022","AQS","490494001","1","7.4","ug/m3 LC","41","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/04/2022","AQS","490494001","1","14.2","ug/m3 LC","61","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/05/2022","AQS","490494001","1","8","ug/m3 LC","44","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
